Shrediir, 0.76
wilowery, 0.74
Aurora32, 0.69
KaiTheKitty, 0.69
Aearost, 0.68
xXQueenCakeXx, 0.68
ExplosiveHippo, 0.67
Dadwise, 0.64
dragonslaya9090, 0.63
radicater11, 0.63
Trintos, 0.63
Marquisinator, 0.62
SleepyTin, 0.60
Vasia_dk, 0.60
Snicoalot, 0.59
AshRising, 0.59
IDynamicI, 0.59
LilSuzy, 0.59
BestSenpai, 0.58
__TyLee__, 0.57
Jasonfirehunter, 0.57
Evildude007, 0.56
DeathBelow_o3o, 0.56
Riomazing, 0.56
EuanTheBold, 0.56
HomuraAkemii, 0.55
AgentCam, 0.55
Slenderman1104, 0.55
Kagu_Tsuchii, 0.55
Smileyx, 0.54
Sulli__, 0.54
MTG333, 0.54
StarryPooter, 0.54
Pyerex, 0.54
Faitful123, 0.53
Rainbow_Panda307, 0.53
Bandu, 0.53
Darepool, 0.53
BaneNetherBeast, 0.53
JacksonNova, 0.53
trainman105, 0.53
SassyNao, 0.52
MurderingKitty, 0.52
OrageIsBest, 0.52
M1k3y, 0.52
2fewChars, 0.52
athei, 0.52
IronBat1221, 0.52
Foxulous, 0.51
MAW99, 0.51
PiXeLmEaLlIoN, 0.50
GoldenGalaxy_USS, 0.50
Makotex, 0.50
Mardicuz, 0.50
DR4G0NV3N0M, 0.50
xGlaciem, 0.50
Djently, 0.50
Yinuki, 0.50
Brilashy, 0.50
Keriden, 0.50
RyanDawn, 0.50
tetrisd, 0.49
1Junky, 0.49
QuixoteSancho, 0.49
KitchenSeraph, 0.49
circlejump, 0.49
S_Walk, 0.49
_DeadLineGamer_, 0.49
Shushi, 0.48
lazhard, 0.48
CuzWhyNot, 0.48
darfallent29, 0.48
Yamouru, 0.48
Dustan_Beifong, 0.48
Gweithir, 0.48
Crazzymonkey29, 0.48
qDanny, 0.48
IIRudolphII, 0.48
Vule1223, 0.48
7ideTurner, 0.47
Amenediel, 0.47
ArgoTheRat, 0.47
Minergaming1000, 0.47
__Dusk__, 0.47
CycloneOP101, 0.47
kith911, 0.47
ZitaDack, 0.47
PotatoPoJoP, 0.47
anat12345_, 0.47
PlsDunHurtMe, 0.47
Faiauido, 0.47
DJMessi10, 0.47
BusterBossJR, 0.47
EnderEnchantress, 0.47
DamienDDM, 0.47
WizardPros, 0.47
MASgamingyt, 0.47
Br0mine, 0.47
XsiikXbrian, 0.47
_TheRedFury_, 0.47
Toph_, 0.47
SpellitwithaK, 0.47
Hemp1080p, 0.47
xXMandehXx, 0.47
Koutetsuto, 0.47
spyro310, 0.47
TheRealCheeps, 0.47
Abstract3, 0.47
JesseLane, 0.47
Calactil, 0.47
XDMangoJanog, 0.47
Nolan901, 0.47
JadeExplosion, 0.47
KarnaLobo, 0.47
Fletch17, 0.47
Oxsnard, 0.47
Moothew, 0.47
Aexelys, 0.47
yasiin, 0.47
FusionStarGamer, 0.46
Jutshiii, 0.46
Inutosuta, 0.46
EmeraldSpider135, 0.46
OnlyNine, 0.46
Jay_KnightOfDoom, 0.46
GoneFaded, 0.46
DomMineOn, 0.46
SonnYZZ, 0.46
trig350, 0.46
JSTORM1203, 0.46
DemonicFoxHound, 0.46
_Zzeon_, 0.46
kdog737, 0.46
xAshleyJade, 0.46
littleme32106, 0.46
maugt, 0.46
ShadowProfessor_, 0.46
NickC1211, 0.45
Th3HaloJub3r_YT, 0.45
MrFoxy97, 0.45
adambake, 0.45
xe709, 0.45
JasonTheGamer101, 0.45
Lunar_Lance, 0.45
PugzAreCute, 0.45
VahnLeiden, 0.45
Sarexa, 0.45
CometStar_, 0.45
ThomasTankEngin3, 0.45
Pugmonkey64, 0.45
Nutellah, 0.45
Kirky2000, 0.45
PlayingGlaceon, 0.45
LG_Xanthium, 0.44
xXeroXx, 0.44
PecksFromChicken, 0.44
GlassDiarrhea350, 0.44
littlelucario_, 0.44
EpicGhostWarrior, 0.44
OliviaSapphire, 0.44
Martijn7860, 0.44
RemRox, 0.44
_tahj, 0.44
Booster_Turtle, 0.43
VampireCookies, 0.43
xXHelmerXx, 0.43
mineguy2016, 0.43
Jasmine_Jaguar, 0.43
GrizzlyCreek2, 0.43
Pravina, 0.42
xX_LovelyEmo_Xx, 0.42
Bizinkz, 0.42
Thury7u7r, 0.42
_ItsGucci, 0.42
BitesFromWolf, 0.42
KingArcKnight, 0.42
dimitrispota, 0.41
N8palomino, 0.41
Draison, 0.41
Giovaknight, 0.41
EPICBOY12321, 0.40
Teschar, 0.39
Yellow_Reptile, 0.39
ZeroGravity501, 0.39
SlimWhitman, 0.38
kevolin, 0.38
JewSmasher_exe, 0.38
YangGaming, 0.38
dogman0121, 0.37
Dogbreath888, 0.37
hippotehgreat, 0.37
_ZBryanS_, 0.36
OwenR06, 0.34
Deadshot44, 0.33